"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"983125";"";"385732025";"1104457";"SECRETARIA DA CULTURA";"RS";"GRAVATAI";"GIGOV/PO";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2644423.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983100";"";"385522025";"1104436";"SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERA";"DF";"BRASILIA";"GIGOV/BR";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2530849.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983133";"";"385682025";"1104452";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"RAPOSOS";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983560";"1-2141030";"559722025";"1104579";"MUNICIPIO DE SAO GABRIEL DA PALHA - ES";"ES";"SAO GABRIEL DA PALHA";"GIGOV/VT";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"16760192.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985487";"1-2137772";"553402025";"1104620";"MUNICIPIO DE ALEGRE - ES";"ES";"ALEGRE";"GIGOV/VT";"novo pac - contenção de encostas";"3553910.18";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986658";"1-2134574";"552732025";"1104606";"MUNICIPIO DE CARIACICA - ES";"ES";"CARIACICA";"GIGOV/VT";"novo pac - contenção de encostas";"18143766.97";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983615";"1-2137358";"559752025";"1104425";"MUNICIPIO DE NOVA SANTA RITA - RS";"RS";"NOVA SANTA RITA";"REGOV/NH";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"11051248.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"984880";"1-2144512";"560052025";"1105153";"MUNICIPIO DE SAO LOURENCO DO SUL - RS";"RS";"SAO LOURENCO DO SUL";"REGOV/PL";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"37774425.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983096";"";"385552025";"1104439";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"VESPASIANO";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983093";"";"385612025";"1104445";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"UNAI";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
