"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"973945";"1-2031032";"dte_primeira_data_lae_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"973945";"1-2031032";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"973945";"1-2031032";"ultima_data_relevante_calc";"2025-11-19";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"973945";"1-2031032";"dias_ate_publicacao_calc";"";"-493"
"alterado";"dados_e_derivados";"derivado_tempo";"973945";"1-2031032";"prazo_lae_mais_60_calc";"";"2026-10-16"
"alterado";"dados_e_derivados";"derivado_tempo";"973945";"1-2031032";"prazo_lae_mais_60_mais_120_calc";"";"2027-04-14"
"alterado";"dados_e_derivados";"derivado_tempo";"973945";"1-2031032";"urgencia_suspensiva_calc";"31–90 dias";""
"alterado";"dados";"dados_origem";"973958";"1-2033594";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados";"dados_origem";"973966";"1-2033125";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"974019";"1-2032852";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados_e_derivados";"dados_origem";"974020";"1-2032793";"dte_primeira_data_lae_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"974020";"1-2032793";"ultima_data_relevante_calc";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"974020";"1-2032793";"fase_atual_calc";"SUSPENSIVA";"LAE"
"alterado";"dados_e_derivados";"derivado_tempo";"974020";"1-2032793";"prazo_lae_mais_60_calc";"";"2026-10-17"
"alterado";"dados_e_derivados";"derivado_tempo";"974020";"1-2032793";"prazo_lae_mais_60_mais_120_calc";"";"2027-04-15"
"alterado";"dados_e_derivados";"dados_origem";"974022";"1-2031450";"dte_vrpl_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"974022";"1-2031450";"ultima_data_relevante_calc";"2026-04-09";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"974022";"1-2031450";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"974022";"1-2031450";"dias_homologacao_ate_vrpl_calc";"";"71"
"alterado";"dados";"dados_origem";"983612";"1-2139414";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados_e_derivados";"dados_origem";"984867";"1-2138422";"dte_aio_tdb";"2026-06-17";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"984867";"1-2138422";"dte_inicio_obra_mcid_saci";"2026-06-02";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"984867";"1-2138422";"ultima_data_relevante_calc";"2026-06-17";"2026-06-19"
"alterado";"dados_e_derivados";"derivado_regra";"984867";"1-2138422";"dias_vrpl_ate_aio_calc";"15";"17"
"alterado";"dados_e_derivados";"derivado_regra";"984867";"1-2138422";"dias_aio_ate_inicio_obra_calc";"-15";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"984867";"1-2138422";"prazo_inicio_obra_calc";"2026-07-01";"2026-07-03"
"alterado";"derivados_tempo";"derivado_tempo";"984888";"1-2141981";"status_pub_licitacao_calc";"Próximos 30 dias";"Vencida"
"alterado";"dados_e_derivados";"dados_origem";"985333";"1-2136070";"dte_inicio_obra_mcid_saci";"2026-05-12";"2026-06-17"
"alterado";"dados_e_derivados";"derivado_regra";"985333";"1-2136070";"dias_aio_ate_inicio_obra_calc";"-36";"0"
"alterado";"dados";"dados_origem";"985342";"1-2137733";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"derivados_tempo";"derivado_tempo";"985353";"1-2139918";"status_pub_licitacao_calc";"No prazo";"Próximos 30 dias"
"alterado";"dados";"dados_origem";"985356";"1-2135780";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"985385";"1-2138879";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"985481";"1-2139529";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"986342";"1-2137618";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"986347";"1-2134748";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"986650";"1-2141564";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"986722";"1-2141460";"tipo_doc_suspensiva";"Documentos apresentados";""
"alterado";"dados";"dados_origem";"986743";"1-2143102";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"986744";"1-2143649";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados";"dados_origem";"991557";"1-2162385";"tipo_doc_suspensiva";"";"Documentos apresentados"
"alterado";"dados_e_derivados";"dados_origem";"992755";"1-2164154";"dte_vrpl_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"992755";"1-2164154";"dte_aio_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"992755";"1-2164154";"dte_inicio_obra_mcid_saci";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"992755";"1-2164154";"ultima_data_relevante_calc";"2026-05-18";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"992755";"1-2164154";"fase_atual_calc";"HOMOLOGACAO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"992755";"1-2164154";"dias_homologacao_ate_vrpl_calc";"";"31"
"alterado";"dados_e_derivados";"derivado_regra";"992755";"1-2164154";"dias_vrpl_ate_aio_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_regra";"992755";"1-2164154";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"992755";"1-2164154";"prazo_inicio_obra_calc";"";"2026-07-02"
"alterado";"dados_e_derivados";"derivado_tempo";"992755";"1-2164154";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"996610";"1-2205134";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"996610";"1-2205134";"dte_retirada_suspensiva_tgov";"";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"996610";"1-2205134";"dte_primeira_data_lae_tdb";"";"2026-06-19"
"alterado";"dados_e_derivados";"dados_origem";"996610";"1-2205134";"dte_publicacao_licitacao_tgov";"";"2025-09-04"
"alterado";"dados_e_derivados";"dados_origem";"996610";"1-2205134";"dte_homologacao_licitacao_tgov";"";"2026-03-04"
"alterado";"dados_e_derivados";"derivado_regra";"996610";"1-2205134";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"996610";"1-2205134";"flag_publicacao_licitacao_calc";"NAO";"SIM"
